ablation,id,category,blocked,false_positive,blocking_layer,total_ms
none,1,benign,False,False,none,0.012459000572562218
none,2,benign,False,False,none,0.0037918798625469208
none,3,benign,False,False,none,0.0015830155462026596
none,4,benign,False,False,none,0.000791158527135849
none,5,benign,False,False,none,0.0006249174475669861
none,6,benign,False,False,none,0.0005420297384262085
none,7,benign,False,False,none,0.0005420297384262085
none,8,benign,False,False,none,0.0005830079317092896
none,9,benign,False,False,none,0.0005830079317092896
none,10,benign,False,False,none,0.00062515027821064
none,11,benign,False,False,none,0.0005420297384262085
none,12,benign,False,False,none,0.000583939254283905
none,13,benign,False,False,none,0.0005417969077825546
none,14,benign,False,False,none,0.0005830079317092896
none,15,benign,False,False,none,0.0005830079317092896
none,16,benign,False,False,none,0.0005830079317092896
none,17,benign,False,False,none,0.0005420297384262085
none,18,benign,False,False,none,0.0005841720849275589
none,19,benign,False,False,none,0.0005420297384262085
none,20,benign,False,False,none,0.0005420297384262085
none,21,benign,False,False,none,0.000583939254283905
none,22,benign,False,False,none,0.0005830079317092896
none,23,benign,False,False,none,0.0005830079317092896
none,24,benign,False,False,none,0.0005830079317092896
none,25,benign,False,False,none,0.0005408655852079391
none,26,benign,False,False,none,0.0005830079317092896
none,27,benign,False,False,none,0.0005830079317092896
none,28,benign,False,False,none,0.0005408655852079391
none,29,benign,False,False,none,0.000541098415851593
none,30,benign,False,False,none,0.000583939254283905
none,31,benign,False,False,none,0.0005830079317092896
none,32,benign,False,False,none,0.0005420297384262085
none,33,benign,False,False,none,0.000583939254283905
none,34,benign,False,False,none,0.0005417969077825546
none,35,benign,False,False,none,0.0005830079317092896
none,36,benign,False,False,none,0.000583939254283905
none,37,benign,False,False,none,0.0005830079317092896
none,38,benign,False,False,none,0.0005830079317092896
none,39,benign,False,False,none,0.000583939254283905
none,40,benign,False,False,none,0.0005830079317092896
none,41,benign,False,False,none,0.000541098415851593
none,42,benign,False,False,none,0.0006670597940683365
none,43,benign,False,False,none,0.000583939254283905
none,44,benign,False,False,none,0.0005420297384262085
none,45,benign,False,False,none,0.0005420297384262085
none,46,benign,False,False,none,0.0005420297384262085
none,47,benign,False,False,none,0.0005830079317092896
none,48,benign,False,False,none,0.0005420297384262085
none,49,benign,False,False,none,0.0005420297384262085
none,50,benign,False,False,none,0.0005830079317092896
none,51,benign,False,False,none,0.0005420297384262085
none,52,benign,False,False,none,0.0005417969077825546
none,53,benign,False,False,none,0.0005830079317092896
none,54,benign,False,False,none,0.000541098415851593
none,55,benign,False,False,none,0.0005830079317092896
none,56,benign,False,False,none,0.000583939254283905
none,57,benign,False,False,none,0.0005417969077825546
none,58,benign,False,False,none,0.0005420297384262085
none,59,benign,False,False,none,0.0005830079317092896
none,60,benign,False,False,none,0.0005830079317092896
none,61,benign,False,False,none,0.0005830079317092896
