timestamp,prompt_length,layer1_ms,layer2_ms,layer3_ms,layer4_ms,layer5_ms,total_ms
2026-06-13T08:15:47.136243+00:00,41,2062.10,1.90,14.42,21551.68,22963.20,46593.31
2026-06-13T08:49:51.566394+00:00,34,2044.96,2.05,15.08,1788.11,1715.97,5566.78
2026-06-13T08:52:11.835396+00:00,89,2421.48,1523.33,19.85,2343.23,2030.13,8338.74
2026-06-13T08:53:16.185250+00:00,111,2173.93,0.13,14.32,0.00,1338.53,3527.46
2026-06-13T08:54:33.073419+00:00,72,1993.58,0.10,11.26,5183.53,4374.28,11563.40
2026-06-13T09:10:55.649931+00:00,42,1950.41,0.10,12.51,8454.97,7364.11,17782.75
2026-06-13T09:13:49.383762+00:00,41,1988.26,10.24,11.99,1587.47,1699.16,5297.75
2026-06-13T09:14:04.808571+00:00,41,1872.68,0.09,11.12,0.00,1433.49,3317.99
2026-06-13T09:22:44.126923+00:00,41,1979.11,0.09,13.37,851.46,1725.63,4570.29
2026-06-13T09:23:41.321225+00:00,41,1988.78,1.44,21.32,2964.16,3601.70,8578.07
2026-06-13T09:24:34.177732+00:00,95,2764.41,0.34,19.68,0.00,1776.02,4561.10
2026-06-13T09:24:56.675660+00:00,90,2609.47,0.29,17.39,2192.79,2654.30,7474.90
2026-06-13T09:29:23.273535+00:00,90,2224.25,1.52,13.01,0.00,1420.17,3659.49
2026-06-13T09:29:59.136238+00:00,109,2171.00,0.25,21.75,0.00,1410.99,3604.57
2026-06-13T09:30:21.019979+00:00,95,2077.19,0.26,12.65,0.00,1342.25,3432.88
2026-06-13T09:30:38.783099+00:00,76,2084.98,0.36,16.86,0.00,1820.39,3923.21
2026-06-13T09:30:52.611880+00:00,127,2235.08,0.33,14.91,0.00,1330.53,3581.44
2026-06-13T09:31:16.572828+00:00,68,2364.65,0.20,15.07,0.00,1803.89,4184.45
2026-06-13T09:32:16.429110+00:00,2467,30207.76,6.79,38.37,0.00,1345.98,31599.50
2026-06-13T09:32:57.967163+00:00,919,10604.35,2.20,29.63,2006.05,1922.35,14565.17
2026-06-13T09:38:05.754430+00:00,919,11087.20,4.58,29.92,0.00,1508.68,12631.03
2026-06-13T09:39:06.515275+00:00,2460,35976.04,6.37,35.76,0.00,1355.50,37374.28
2026-06-13T09:40:16.900851+00:00,1586,25739.84,6.19,38.80,2203.87,2436.68,30426.09
2026-06-13T09:43:49.003433+00:00,1624,21432.19,6.22,40.75,0.00,1510.01,22989.72
2026-06-13T09:46:55.700032+00:00,1710,26398.38,7.67,43.11,18509.11,20575.56,65534.52
2026-06-13T09:49:30.459992+00:00,1722,17453.97,8.37,30.95,0.00,1285.60,18779.46
2026-06-13T09:49:41.857026+00:00,47,1900.46,8.77,11.23,5143.09,4331.53,11395.70
2026-06-13T09:51:03.491625+00:00,1012,9762.09,3.35,41.54,7254.41,5934.72,22996.77
2026-06-13T09:54:25.038546+00:00,1031,12850.33,3.55,35.68,0.00,1936.35,14826.60
2026-06-13T09:55:26.527547+00:00,1429,14861.34,5.84,45.33,0.00,1368.82,16281.90
2026-06-13T09:56:12.657306+00:00,2123,31965.58,8.27,32.13,0.00,1408.46,33415.02
2026-06-13T09:57:46.989914+00:00,3529,65606.32,19.28,58.92,0.00,1900.73,67586.13
2026-06-13T09:59:06.219114+00:00,2246,40822.06,19.56,49.37,0.00,1879.84,42771.56
2026-06-13T10:01:22.597205+00:00,4158,91985.94,19.52,39.70,0.00,1320.92,93366.71
2026-06-13T10:30:44.465629+00:00,1930,28552.02,8.58,40.63,0.00,1492.21,30094.14
2026-06-13T10:31:31.819957+00:00,1336,23574.00,7.78,49.42,2364.24,2245.19,28241.40
2026-06-13T10:45:41.563050+00:00,2164,30905.16,10.63,52.27,3091.47,2810.57,36871.03
2026-06-13T10:46:40.608650+00:00,1930,23678.51,8.49,37.88,0.00,1361.67,25087.33
2026-06-13T10:47:57.758845+00:00,1336,0.00,5.93,1.56,0.00,0.00,7.50
2026-06-13T10:49:23.052436+00:00,2164,0.00,5.11,2.50,0.00,0.00,7.62
2026-06-13T10:50:19.320349+00:00,681,7187.15,0.93,26.81,7770.63,6427.05,21413.48
2026-06-13T10:51:23.681348+00:00,866,8803.98,2.51,28.94,0.00,0.00,8836.51
2026-06-13T10:52:02.355397+00:00,275,3235.41,0.51,15.43,1116.74,1755.80,6124.23
2026-06-13T10:52:45.893744+00:00,646,6591.90,0.91,19.37,0.00,0.00,6612.99
2026-06-13T10:53:33.860579+00:00,1755,0.00,4.18,1.98,0.00,0.00,6.17
2026-06-13T10:54:26.857572+00:00,2461,0.00,5.72,2.66,0.00,0.00,8.40
2026-06-13T10:55:11.725500+00:00,3919,0.00,9.06,4.70,0.00,0.00,13.76
2026-06-13T10:56:15.667096+00:00,112,4831.28,0.29,15.47,14409.77,15260.02,34516.96
2026-06-13T10:56:27.388386+00:00,28,2165.46,0.29,9.02,5857.77,3682.83,11715.42
2026-06-13T10:58:16.524727+00:00,140,4881.46,1.58,16.78,7995.32,1469.53,14364.83
2026-06-13T11:22:54.656031+00:00,140,0.00,6.47,0.18,0.00,0.00,6.67
2026-06-13T11:24:45.071270+00:00,188,9984.29,0.56,22.56,29786.55,39819.93,79614.18
2026-06-13T11:32:20.631942+00:00,188,9016.00,2.70,25.36,33714.21,61844.64,104603.25
2026-06-13T11:42:51.514295+00:00,188,10674.96,2.98,26.15,30703.61,35637.83,77045.93
2026-06-13T11:43:47.538764+00:00,88,4538.46,0.36,24.11,1431.29,2643.43,8637.79
2026-06-13T11:45:25.141511+00:00,88,4699.72,0.44,23.06,1473.90,2329.52,8526.82
2026-06-13T11:49:54.932980+00:00,104,4078.22,0.61,14.82,512.39,1698.20,6304.52
2026-06-13T11:51:39.588612+00:00,108,5901.93,0.41,33.13,1435.41,3696.15,11067.25
2026-06-13T12:08:12.153441+00:00,100,4153.79,0.72,15.04,10651.65,12976.70,27798.20
2026-06-13T12:17:52.683065+00:00,192,7959.35,0.52,25.39,1276.71,2409.70,11671.91
2026-06-13T12:18:07.796687+00:00,90,0.00,0.26,0.23,0.00,0.00,0.51
2026-06-13T12:18:21.155333+00:00,61,0.00,0.21,0.13,0.00,0.00,0.35
2026-06-13T12:18:32.401460+00:00,65,0.00,0.23,0.14,0.00,0.00,0.39
2026-06-13T12:18:59.400929+00:00,98,0.00,0.24,0.15,0.00,0.00,0.40
2026-06-13T12:19:31.951168+00:00,83,0.00,0.25,0.17,0.00,0.00,0.43
2026-06-13T12:19:44.783921+00:00,77,0.00,0.22,0.12,0.00,0.00,0.35
2026-06-13T12:20:15.689971+00:00,75,0.00,0.30,0.12,0.00,0.00,0.43
2026-06-13T12:31:02.717172+00:00,75,0.00,0.24,0.13,0.00,0.00,0.38
2026-06-13T12:31:56.375091+00:00,83,0.00,0.26,0.13,0.00,0.00,0.41
2026-06-13T12:33:03.006884+00:00,69,2060.96,0.15,14.64,280.07,1551.18,3907.11
2026-06-13T13:07:21.528599+00:00,191,3054.22,0.65,20.43,10790.07,16939.73,30805.37
2026-06-13T13:14:53.817888+00:00,1942,28999.13,2.76,68.63,30031.74,48508.38,107613.65
