timestamp,prompt_length,layer1_ms,layer2_ms,layer3_ms,layer4_ms,layer5_ms,total_ms
2026-06-15T16:29:24.380187+00:00,40,5253.96,262.16,204.49,25483.12,5377.52,36585.84
2026-06-15T16:29:29.254344+00:00,30,781.30,6.39,141.79,1281.68,652.03,2863.52
2026-06-15T16:30:35.547079+00:00,50,868.79,4.93,133.09,30905.07,8563.53,40475.47
2026-06-15T16:32:19.764301+00:00,40,1377.55,32.51,147.79,26352.33,6592.10,34502.70
2026-06-15T16:32:26.670439+00:00,30,716.27,4.14,180.22,1420.08,482.53,2803.59
2026-06-15T16:34:35.554513+00:00,50,1496.18,18.53,144.10,28603.02,6004.68,36267.14
2026-06-15T16:35:00.563736+00:00,47,1779.14,32.50,213.76,12076.57,2962.53,17071.51
2026-06-15T16:35:59.743467+00:00,41,7041.69,118.99,355.98,22767.19,3588.05,33876.71
2026-06-15T16:37:24.972661+00:00,40,2185.07,52.13,357.42,23952.16,4866.06,31414.58
2026-06-15T16:37:33.687949+00:00,30,1039.07,1.80,1803.32,2726.33,790.54,6364.62
2026-06-15T16:38:22.635723+00:00,50,1046.55,5.40,278.25,21404.55,5146.05,27880.88
2026-06-15T16:39:12.393455+00:00,50,1013.24,2.60,177.12,21071.11,4310.09,26574.52
2026-06-15T16:39:35.957909+00:00,47,1505.97,5.22,194.62,10050.36,2351.70,14108.53
2026-06-15T16:40:24.998518+00:00,41,1323.69,5.69,204.80,20397.34,5912.88,27844.81
2026-06-15T16:40:40.537595+00:00,37,653.18,3.53,203.61,4167.67,906.73,5934.76
2026-06-15T16:41:01.799903+00:00,55,596.57,0.39,32.13,8641.74,2480.16,11751.05
2026-06-15T16:41:46.701095+00:00,49,1221.85,6.00,189.64,18406.25,3225.76,23049.88
2026-06-15T16:42:46.969395+00:00,46,2400.78,32.41,431.89,28555.73,6320.44,37741.31
2026-06-15T16:43:53.690026+00:00,54,1459.80,7.46,205.01,28341.23,5788.13,35801.68
2026-06-15T16:44:47.181070+00:00,54,1941.64,15.62,192.89,21370.20,4159.86,27680.27
2026-06-15T16:45:11.785783+00:00,47,928.23,2.58,361.46,11334.28,1639.39,14266.00
2026-06-15T16:45:57.711465+00:00,58,944.77,6.13,197.16,19782.96,3220.34,24151.39
2026-06-15T16:46:28.105959+00:00,50,666.18,3.15,223.76,12422.88,1882.40,15198.68
2026-06-15T16:47:16.025744+00:00,54,603.63,3.68,180.39,21381.25,4922.20,27091.20
2026-06-15T16:48:01.192999+00:00,48,955.50,3.89,136.38,18990.25,3862.18,23948.24
2026-06-15T16:48:50.268916+00:00,55,1596.85,15.75,183.70,21346.40,3938.75,27081.49
2026-06-15T16:49:00.704823+00:00,54,538.18,0.95,112.54,3592.47,870.09,5114.28
2026-06-15T16:49:08.908063+00:00,49,585.54,0.52,31.35,2945.68,674.16,4237.32
2026-06-15T16:49:55.737669+00:00,55,878.64,1.42,394.46,21114.15,3736.91,26125.62
2026-06-15T16:50:12.711229+00:00,39,1267.86,2.90,144.26,6954.79,1152.26,9522.32
2026-06-15T16:50:39.157322+00:00,41,873.72,1.16,15.32,0.00,0.00,890.23
2026-06-15T16:50:59.216122+00:00,41,521.96,0.22,15.77,17374.42,2140.86,20053.26
2026-06-15T16:51:21.243555+00:00,50,593.27,0.27,142.40,17357.96,3926.81,22020.76
2026-06-15T16:51:42.080367+00:00,45,728.77,1.72,184.06,15955.66,3958.33,20828.68
2026-06-15T16:52:02.985387+00:00,49,585.81,1.71,153.43,15772.57,4385.39,20899.04
2026-06-15T16:52:23.561458+00:00,47,559.40,0.42,232.81,17065.84,2714.02,20572.55
2026-06-15T16:52:40.449569+00:00,49,551.35,1.04,56.53,13923.72,2342.67,16875.35
2026-06-15T16:52:56.316060+00:00,48,541.02,0.25,23.54,13303.60,1989.90,15858.35
2026-06-15T16:53:12.707917+00:00,54,626.85,0.37,19.25,13539.10,2200.56,16386.18
2026-06-15T16:53:30.038689+00:00,49,562.62,0.26,45.17,14161.46,2554.56,17324.25
2026-06-15T16:53:41.740329+00:00,49,622.07,1.94,158.76,8115.28,2794.25,11692.36
2026-06-15T16:53:57.030547+00:00,38,472.29,0.72,103.89,12871.91,1825.74,15274.58
2026-06-15T16:54:10.166656+00:00,42,499.35,0.27,25.53,10216.85,2387.81,13129.95
2026-06-15T16:54:31.234666+00:00,54,967.86,3.44,147.27,16286.86,3643.89,21049.90
2026-06-15T16:54:48.264552+00:00,41,607.61,1.14,126.79,13894.29,2392.34,17022.25
2026-06-15T16:55:04.380378+00:00,50,479.51,0.79,108.94,13221.36,2298.50,16109.16
2026-06-15T16:55:12.917837+00:00,48,542.14,1.00,26.35,6593.54,1368.53,8531.61
2026-06-15T16:55:32.689853+00:00,38,594.33,0.23,57.78,15673.26,3433.21,19759.15
2026-06-15T16:55:56.586290+00:00,62,610.66,2.62,194.20,15476.55,7597.14,23881.37
2026-06-15T16:56:18.653496+00:00,56,638.01,0.92,209.40,18057.77,3148.26,22054.58
2026-06-15T16:57:29.048673+00:00,59,2429.18,0.38,215.90,9805.82,2014.60,14466.03
2026-06-15T16:57:33.755359+00:00,69,763.28,0.88,160.42,1296.44,520.52,2741.58
2026-06-15T16:57:35.249347+00:00,56,746.01,0.23,25.64,0.00,0.00,771.90
2026-06-15T16:57:38.932319+00:00,64,996.81,0.50,39.58,819.65,458.15,2314.75
2026-06-15T16:57:40.876133+00:00,56,660.43,0.40,38.52,0.00,0.00,699.39
2026-06-15T16:57:42.339487+00:00,72,669.76,0.26,26.43,0.00,0.00,696.51
2026-06-15T16:57:46.605670+00:00,60,629.80,0.18,34.33,587.22,470.62,1722.23
2026-06-15T16:57:50.987377+00:00,57,645.86,0.38,23.76,1648.18,810.04,3128.27
2026-06-15T16:57:54.422057+00:00,63,793.38,0.50,23.36,0.00,0.00,817.31
2026-06-15T16:57:59.355062+00:00,58,720.99,0.39,25.26,1216.68,533.53,2496.91
2026-06-15T16:58:03.985336+00:00,54,844.58,1.51,23.22,1337.51,1167.37,3374.30
2026-06-15T16:58:14.200482+00:00,62,2340.35,15.08,206.63,2970.73,828.01,6360.86
2026-06-15T16:59:10.963555+00:00,54,4235.78,81.84,365.14,14297.40,1513.84,20504.91
2026-06-15T16:59:27.058064+00:00,66,4383.47,2.70,8386.72,0.00,0.00,12773.15
2026-06-15T16:59:58.926058+00:00,72,6834.00,179.80,455.78,0.00,0.00,7469.66
2026-06-15T17:00:33.529231+00:00,59,3753.60,10.60,277.06,7668.34,2861.11,14570.79
2026-06-15T17:00:55.575725+00:00,65,4535.18,69.42,1018.82,5922.48,2409.02,13961.75
2026-06-15T17:01:03.208768+00:00,59,1071.98,1.58,133.45,1855.80,2103.74,5166.60
2026-06-15T17:01:22.506955+00:00,63,1848.33,1.16,380.24,4310.25,1904.94,8445.03
2026-06-15T17:01:36.485100+00:00,66,2153.17,0.61,235.47,3919.75,1363.54,7672.67
2026-06-15T17:01:43.520311+00:00,73,1318.14,5.96,1063.59,1908.52,890.23,5186.49
2026-06-15T17:02:14.054513+00:00,67,1643.51,1.97,139.98,13018.26,2510.12,17313.88
2026-06-15T17:02:18.983465+00:00,56,630.82,1.18,218.48,1374.23,460.78,2685.55
2026-06-15T17:02:22.792337+00:00,64,559.34,0.93,26.96,1217.29,500.62,2305.30
2026-06-15T17:02:26.492811+00:00,58,539.30,2.39,20.71,1293.40,414.93,2270.75
2026-06-15T17:02:54.882696+00:00,66,508.84,0.53,24.91,12639.60,2547.29,15721.20
2026-06-15T17:03:23.434278+00:00,57,1089.52,0.71,138.06,12722.19,1927.47,15877.98
2026-06-15T17:03:26.828176+00:00,58,465.16,0.24,23.25,1098.12,434.17,2020.96
2026-06-15T17:03:35.545839+00:00,65,582.19,0.34,25.01,3557.02,659.04,4823.64
2026-06-15T17:03:48.589961+00:00,75,541.95,0.48,27.00,0.00,0.00,569.45
2026-06-15T17:03:54.226068+00:00,61,731.96,0.49,25.19,1108.79,585.58,2452.05
